target,site,device,vendor,model,version,domain,hostname,object,type,items_0,partner,description,group
"172.31.255.254","misc","switch1","cisco","","","","","interface","Vlan1","ip address 172.31.255.254 255.255.255.0","none","none","Business-Unit-Networks"
"192.0.2.50","cisco","dmz-fw2-backup","cisco","ASA","9.12(4)","global.dmz.example.net","dmz-fw2-backup","object-group","network","network-object host 192.0.2.50","Watchtower-DMZ","Global secure relay","Unclassified"
"192.0.2.50","cisco","perimeter-fw1","cisco","ASA","9.14(3)","edge.dc.example.com","perimeter-fw1","object-group","network","network-object host 192.0.2.50","Avengers-DMZ","Public access layer","Unclassified"
"10.0.1.2","fortinet","fg-branch-vpn-01","fortinet","FortiGate-60F","v7.2.5.F","","fg-branch-vpn-01","config","firewall address","set subnet 10.0.1.2 255.255.255.255","Spidey-Sandbox","QA node in Peter's Lab","Unclassified"
"10.0.1.2","misc","switch1","cisco","","","","","interface","Vlan10","ip address 10.0.1.2 255.255.255.0","none","none","Unclassified"
"172.18.1.20","cisco","branch-isr-02","cisco","","16.9","","branch-isr-02","object-group","network","network-object host 172.18.1.20","Lantern-DMZ","Protected but public-facing zone","Unclassified"
"172.18.1.20","misc","fw1","cisco","","","","","object-group","network","network-object host 172.18.1.20","Fortress-Wireless","Secure wireless access layer","Unclassified"
"172.16.1.6","cisco","branch-isr-02","cisco","","16.9","","branch-isr-02","object","network","host 172.16.1.6","BlackWidow-Core","Branch router uplink NAT","Unclassified"
"172.16.1.6","cisco","branch-isr-02","cisco","","16.9","","branch-isr-02","interface","GigabitEthernet0/0/0","ip address 172.16.1.6 255.255.255.0","none","ISP uplink","Unclassified"
"172.16.1.6","fortinet","fg-campus-core","fortinet","FortiGate-200F","","","fg-campus-core","config","firewall address","set subnet 172.16.1.6 255.255.255.255","Hawkeye-Nest","Remote sniper node","Unclassified"
"172.16.1.6","misc","switch3","cisco","","","","","interface","Vlan2","ip address 172.16.1.6 255.255.255.0","none","none","Business-Unit-Networks"
"172.16.0.5","cisco","perimeter-fw1","cisco","ASA","9.14(3)","edge.dc.example.com","perimeter-fw1","object-group","network","network-object host 172.16.0.5","Panther-Edge","Internet-facing proxy systems","Unclassified"
"172.16.0.5","cisco","perimeter-fw1","cisco","ASA","9.14(3)","edge.dc.example.com","perimeter-fw1","object","network","host 172.16.0.5","Magneto-Core","WAN firewall entry point","Unclassified"
"172.16.0.5","misc","fw3","cisco","","","","","object","network","host 172.16.0.5","Edge-Terminal","Internet firewall handoff","Unclassified"
"172.16.0.5","misc","fw3","cisco","","","","","object-group","network","network-object host 172.16.0.5","Panther-Edge","Internet-facing proxy systems","Unclassified"
"10.0.2.3","cisco","branch-isr-02","cisco","","16.9","","branch-isr-02","interface","GigabitEthernet0/0/2","ip address 10.0.2.3 255.255.255.0","none","Dev VLAN","Unclassified"
"10.0.2.3","cisco","branch-isr-02","cisco","","16.9","","branch-isr-02","object","network","host 10.0.2.3","Panther-Gateway","Secure outbound concentrator","Unclassified"
"10.0.2.3","misc","fw1","cisco","","","","","object-group","network","network-object host 10.0.2.3","Metropolis-Internal","Core internal LAN for application clusters","Unclassified"
"10.0.2.3","misc","fw1","cisco","","","","","object","network","host 10.0.2.3","Kent-Server","Internal mail & identity services","Unclassified"
"10.0.2.3","misc","fw3","cisco","","","","","object-group","network","network-object host 10.0.2.3","Wakanda-Core","National Core Routing Zone","Unclassified"
"10.0.2.3","misc","fw3","cisco","","","","","object","network","host 10.0.2.3","Panther-Gateway","Secure outbound concentrator","Unclassified"
"10.0.0.1","cisco","perimeter-fw1","cisco","ASA","9.14(3)","edge.dc.example.com","perimeter-fw1","object","network","host 10.0.0.1","Stark-Tower","Core services gateway","Unclassified"
"10.0.0.1","cisco","perimeter-fw1","cisco","ASA","9.14(3)","edge.dc.example.com","perimeter-fw1","interface","GigabitEthernet0/1","ip address 10.0.0.1 255.255.255.0","none","Internal Network Interface","Unclassified"
"10.0.0.1","fortinet","fg-branch-vpn-01","fortinet","FortiGate-60F","v7.2.5.F","","fg-branch-vpn-01","config","firewall address","set subnet 10.0.0.1 255.255.255.255","IronMan-HQ","Main node at Stark Tower","Unclassified"
"10.0.0.1","misc","switch1","cisco","","","","","object-group","network","network-object host 10.0.0.1","Avengers-Office","VLAN access layer","Unclassified"
"10.0.0.1","misc","switch3","cisco","","","","","interface","Vlan1","ip address 10.0.0.1 255.255.255.0","none","none","Business-Unit-Networks"
